TOA5,mpob,CR1000,46321,CR1000.Std.24,CPU:mpob.cr1,27517,VW_Hourly,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BattVolt_Max,BattVolt_Min,Encl_RH_Max,Encl_RH_Min,LogrTmpC_Max,LogrTmpC_Min,WindSpd_ms_Max,WindSpd_ms_Avg,WindDir_Avg,Rain_mm_Tot,AirTempC_Avg,AirTempC_Max,AirTempC_Min,RelHum_Avg,RelHum_Max,RelHum_Min,SlrRad_W_Avg,SlrRad_W_Max,DewPntC_Max,DewPntC_Min,WindChilC_Max,WindChilC_Min,HeatIndxC_Max,HeatIndxC_Min,,,,,,,,
TS,RN,,,,,,,,,Deg,,,,,,,,,,,,,,,,,,,,,,,
,,Max,Min,Max,Min,Max,Min,Max,WVc,WVc,Tot,Avg,Max,Min,Avg,Max,Min,Avg,Max,Max,Min,Max,Min,Max,Min,,,,,,,,
1/1/16 0:00,27733,12.52,12.51,90.1,89.9,23.84,23.78,0.001,0.001,117.6,0,26.92,27.09,26.75,5.449,5.534,5.397,0.113,0.203,-14.57,-15.11,27.09,26.75,27.09,26.75,,,,,,,,
1/1/16 1:00,27734,12.51,12.49,90.1,89.9,23.87,23.78,0.001,0.001,224.6,0,26.81,27.02,26.61,5.581,5.67,5.534,0.045,0.203,-14.46,-14.81,27.02,26.61,27.02,26.61,,,,,,,,
1/1/16 2:00,27735,12.5,12.48,90,90,23.96,23.84,0.001,0.001,195.2,3.048,26.72,26.99,26.44,5.718,5.807,5.602,0.051,0.203,-14.05,-14.73,26.99,26.44,26.99,26.44,,,,,,,,
1/1/16 3:00,27736,12.49,12.46,90.2,89.9,23.99,23.72,0.001,0.001,245.2,7.366,26.37,27.02,25.86,6.009,6.08,5.807,0.058,0.203,-13.79,-14.41,27.02,25.86,27.02,25.86,,,,,,,,
1/1/16 4:00,27737,12.47,12.45,90.5,90.2,23.72,23.5,1.719,0.261,222.7,16,25.88,26.2,25.58,6.062,6.149,6.012,0.142,0.203,-14.15,-14.49,26.2,25.58,26.2,25.58,,,,,,,,
1/1/16 5:00,27738,12.46,12.43,90.7,90.4,23.5,23.35,1.24,0.172,227.5,1.778,25.68,25.79,25.45,6.252,6.354,6.114,0.089,0.203,-13.81,-14.46,25.79,25.45,25.79,25.45,,,,,,,,
1/1/16 6:00,27739,12.43,12.42,90.7,90.5,23.44,23.38,1.4,0.027,230.4,2.286,25.81,26.06,25.62,6.468,6.558,6.354,0.114,0.203,-13.25,-13.86,26.06,25.62,26.06,25.62,,,,,,,,
1/1/16 7:00,27740,12.42,12.41,90.6,90.5,23.5,23.44,2.039,0.259,223.9,0.508,25.8,26.13,25.52,6.719,6.9,6.558,0.122,0.203,-12.82,-13.6,26.13,25.52,26.13,25.52,,,,,,,,
1/1/16 8:00,27741,12.63,12.41,90.8,90.5,23.67,23.47,2.199,0.121,232.6,0.762,25.79,26.2,25.52,6.973,7.105,6.9,31.24,97.8,-12.18,-12.9,26.2,25.52,26.2,25.52,,,,,,,,
1/1/16 9:00,27742,13.14,12.63,90.7,85.9,25.34,23.67,2.678,0.67,267.8,0,26.6,27.19,26.2,7.187,7.31,7.037,181.2,464.3,-11.2,-12.25,27.19,26.2,27.19,26.2,,,,,,,,
1/1/16 10:00,27743,13.13,12.93,86.8,82.4,27.69,25.31,2.199,0.322,309.9,0,27.92,28.84,27.16,7.321,7.377,7.173,286.8,649.3,-9.72,-11.31,28.84,27.16,28.84,27.16,,,,,,,,
1/1/16 11:00,27744,13.1,12.81,88.4,81.7,29.05,26.53,4.756,0.962,343.1,4.318,29.1,30.07,26.86,7.366,7.444,7.238,281.3,932,-8.7,-11.3,30.07,26.86,30.07,26.86,,,,,,,,
1/1/16 12:00,27745,13.15,12.9,94.7,87.2,26.56,24.01,3.637,1.364,352.3,1.27,26.58,28.04,25.86,7.417,7.515,7.273,351.2,989,-10.08,-11.92,28.04,25.86,28.04,25.86,,,,,,,,
1/1/16 13:00,27746,13.11,13.06,87.1,79.01,30.64,26.78,4.436,1.375,334.5,0,29.55,30.54,28.01,7.505,7.716,7.375,707.4,1186,-8.12,-10.1,30.54,28.01,30.54,28.01,,,,,,,,
1/1/16 14:00,27747,13.08,13.05,87.9,79.52,31.51,28.66,3.637,1.582,4.282,0.508,30.39,31.08,29.58,7.449,7.512,7.375,489.9,1167,-7.911,-9.07,31.08,29.58,31.08,29.58,,,,,,,,
1/1/16 15:00,27748,13.08,12.87,92.3,84.1,30.26,27.34,5.395,1.502,358.6,4.318,30.29,30.92,28.49,7.464,7.512,7.375,238.2,717.4,-7.967,-9.86,30.92,28.49,30.92,28.49,,,,,,,,
