TOA5,ET107,CR1000,37144,CR1000.Std.20,CPU:ET107_4.cr1,44045,VW_Hourly,Wind speed,,Wind direction,Rainfall,Air Temperature,,,,Relative Humidity,,Solar Radiation,,Dew Point,,,,Heat Index,
TIMESTAMP,RECORD,BattVolt_Max,BattVolt_Min,Encl_RH_Max,Encl_RH_Min,LogrTmpC_Max,LogrTmpC_Min,WindSpd_ms_Max,WindSpd_ms_Avg,WindDir_Avg,Rain_mm_Tot,AirTempC_Avg,AirTempC_Max,AirTempC_Min,RelHum_Avg,RelHum_Max,RelHum_Min,SlrRad_W_Avg,SlrRad_W_Max,DewPntC_Max,DewPntC_Min,WindChilC_Max,WindChilC_Min,HeatIndxC_Max,HeatIndxC_Min
TS,RN,,,,,,,,,Deg,,,,,,,,,,,,,,,
,,Max,Min,Max,Min,Max,Min,Max,WVc,WVc,Tot,Avg,Max,Min,Avg,Max,Min,Avg,Max,Max,Min,Max,Min,Max,Min
3/23/11 18:00,5,13.03,13,20.23,14.6,27.15,25.85,3.158,1.548,44.52,0,27.4,28.09,26.48,86.5,92.1,82.1,281.2,503.7,25.78,24.46,28.09,26.48,33.4,26.48
3/23/11 19:00,6,13.01,12.75,18.68,14.6,27.31,25.67,5.075,2.907,335.6,0,26.7,28.06,25.67,85.6,90,79.02,69.43,308.7,25.45,23.6,28.06,25.67,33.05,25.67
3/23/11 20:00,7,12.75,12.66,18.68,18.14,25.67,24.66,3.477,1.679,304.3,0,25.31,25.68,25.01,91.7,93.5,88.9,1.873,10.52,24.05,23.7,25.68,25.01,25.68,25.01
3/23/11 21:00,8,12.67,12.64,19.02,17.27,24.66,23.58,5.395,2.844,323.9,0.508,24.44,25.01,23.94,91.6,93.9,89.4,0,0,23.85,22.47,25.01,23.94,25.01,23.94
3/23/11 22:00,9,12.64,12.61,18.82,18.01,23.58,23.24,4.116,1.984,323.8,0,23.77,23.94,23.67,92.9,94.3,91.3,0,0,22.8,22.4,23.94,23.67,23.94,23.67
3/23/11 23:00,10,12.62,12.6,19.22,18.75,23.24,23.15,1.24,0.601,304.2,0,23.79,23.9,23.73,94.5,95.5,93.7,0,0,23.07,22.69,23.9,23.73,23.9,23.73
3/24/11 0:00,11,12.61,12.59,19.42,19.09,23.27,23.15,1.24,0.396,345.8,0,23.88,24,23.73,95,95.8,94.4,0,0,23.15,22.95,24,23.73,24,23.73
3/24/11 1:00,12,12.6,12.59,19.69,18.95,23.24,23.01,0.92,0.299,221.6,0,23.87,24.07,23.6,95.5,96.6,94.2,0,0,23.3,22.97,24.07,23.6,24.07,23.6
3/24/11 2:00,13,12.59,12.58,19.02,18.34,23.01,22.64,1.08,0.443,279.8,0,23.37,23.6,23.23,97.1,97.7,96.2,0,0,23.02,22.78,23.6,23.23,23.6,23.23
3/24/11 3:00,14,12.58,12.57,18.51,17.91,22.7,22.36,1.08,0.435,327.3,0,23.1,23.3,22.87,97.6,98.2,97.1,0,0,22.93,22.47,23.3,22.87,23.3,22.87
3/24/11 4:00,15,12.58,12.57,18.22,17.78,22.36,22.17,1.4,0.758,307.8,0,22.76,22.88,22.67,98,98.5,97.6,0,0,22.58,22.34,22.88,22.67,22.88,22.67
3/24/11 5:00,16,12.57,12.56,18.01,17.51,22.19,21.84,1.24,0.493,272.6,0,22.55,22.74,22.27,98,98.6,97.7,0,0,22.46,21.95,22.74,22.27,22.74,22.27
3/24/11 6:00,17,12.57,12.55,17.84,17.24,21.84,21.64,1.879,0.751,272.3,0,22.27,22.34,22.2,98.4,98.7,97.9,0,0,22.14,21.88,22.34,22.2,22.34,22.2
3/24/11 7:00,18,12.56,12.55,17.68,17.1,21.64,21.31,1.24,0.485,182.4,0,22.06,22.24,21.87,98.3,98.6,98,0.031,0.596,21.98,21.6,22.24,21.87,22.24,21.87
3/24/11 8:00,19,12.85,12.55,18.92,17.37,21.89,21.29,1.719,0.502,205.7,0,22.12,22.61,21.87,98.7,99,98.2,32.54,103.9,22.45,21.58,22.61,21.87,22.61,21.87
3/24/11 9:00,20,13.12,12.85,17.78,12.78,23.99,21.89,2.678,1.328,223.3,0,23.91,25.01,22.61,95.9,99,91.1,221.4,346.6,23.87,22.44,25.01,22.61,25.01,22.61
3/24/11 10:00,21,13.08,13.04,13.32,11.83,26.44,23.99,3.477,1.633,216,0,25.79,27.16,24.95,88.3,92.9,81.9,402.9,633.4,24.44,23.17,27.16,24.95,30.62,24.95
3/24/11 11:00,22,13.04,13,12.98,11.43,28.92,26.44,3.477,1.754,208.3,0,28.1,28.87,27.16,78.02,85.2,72.61,557.6,845,24.64,23.26,28.87,27.16,33.62,30.61
3/24/11 12:00,23,13.01,12.97,12.91,11.09,31.09,28.85,3.637,1.351,336.4,0,29.84,30.5,28.63,69.01,76.23,64.5,764.8,1088,25.07,22.69,30.5,28.63,36.31,32.51
3/24/11 13:00,24,12.97,12.95,12.91,10.95,32.19,30.78,3.158,1.418,347.4,0,31.09,31.84,30.16,63.72,70.73,59.78,653.3,1316,24.51,22.3,31.84,30.16,37.86,34.26
