TOA5,ET107_3_MPOB_Sessang,CR1000,25290,CR1000.Std.16,CPU:ET107_3_MPOB_Sessang.cr1,11559,VW_Hourly,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BattVolt_Max,BattVolt_Min,Encl_RH_Max,Encl_RH_Min,LogrTmpC_Max,LogrTmpC_Min,WindSpd_ms_Max,WindSpd_ms_Avg,WindDir_Avg,Rain_mm_Tot,AirTempC_Avg,AirTempC_Max,AirTempC_Min,RelHum_Avg,RelHum_Max,RelHum_Min,SlrRad_W_Avg,SlrRad_W_Max,DewPntC_Max,DewPntC_Min,WindChilC_Max,WindChilC_Min,HeatIndxC_Max,HeatIndxC_Min
TS,RN,,,,,,,,,Deg,,,,,,,,,,,,,,,
,,Max,Min,Max,Min,Max,Min,Max,WVc,WVc,Tot,Avg,Max,Min,Avg,Max,Min,Avg,Max,Max,Min,Max,Min,Max,Min
4/1/16 0:00,991,12.67,12.65,92,91.7,24.92,24.84,1.08,0.096,110.2,0,25.98,26.18,25.71,91.3,92.1,90.5,0,0,24.64,24.29,26.18,25.71,26.18,25.71
4/1/16 1:00,992,12.65,12.64,91.9,91.6,24.84,24.78,0.601,0.016,62.76,0,25.89,26.17,25.69,91.3,91.8,90.4,0,0,24.58,24.22,26.17,25.69,26.17,25.69
4/1/16 2:00,993,12.64,12.62,91.8,91.6,24.81,24.69,0.761,0.1,149.5,0,25.85,26.1,25.66,91.3,91.8,90.6,0,0,24.54,24.21,26.1,25.66,26.1,25.66
4/1/16 3:00,994,12.63,12.6,91.7,91.5,24.84,24.81,1.08,0.329,64.32,0,25.78,26,25.54,91.5,92.1,91,0,0,24.52,24.14,26,25.54,26,25.54
4/1/16 4:00,995,12.61,12.58,91.6,91.3,24.81,24.45,0.92,0.101,25.67,0,25.65,25.83,25.39,91.5,92,90.9,0,0,24.35,23.98,25.83,25.39,25.83,25.39
4/1/16 5:00,996,12.59,12.56,91.7,91.4,24.45,24.3,0.761,0.058,53.49,0,25.51,25.79,25.08,91.4,92.6,90.6,0,0,24.22,23.75,25.79,25.08,25.79,25.08
4/1/16 6:00,997,12.57,12.54,91.6,91.4,24.3,24.13,1.719,0.422,114,0,25.02,25.39,24.73,92.5,93.3,91.6,0,0,23.99,23.53,25.39,24.73,25.39,24.73
4/1/16 7:00,998,12.56,12.53,91.7,91.2,24.19,24.04,1.08,0.094,124.9,0,25.09,25.25,24.88,92.2,93.2,91.6,4.559,40.18,23.93,23.6,25.25,24.88,25.25,24.88
4/1/16 8:00,999,13.22,12.56,91.6,87.4,26.34,24.19,1.4,0.297,108.3,0,25.98,27.01,25.15,90.3,92.3,86.4,202.6,335.4,24.84,23.79,27.01,25.15,30.51,25.15
4/1/16 9:00,1000,13.18,13.15,87.4,85.3,28.59,26.34,2.838,1.229,58.42,0,27.71,29.05,26.81,86.2,88.5,81.3,372.5,744.7,25.93,24.45,29.05,26.81,35.54,29.93
4/1/16 10:00,1001,13.15,13.13,85.7,84.5,30.46,28.59,4.116,1.983,1.071,0,29.23,30,28.78,80.7,83.5,76.25,488.1,1127,26.26,25.1,30,28.78,37.24,34.36
4/1/16 11:00,1002,13.13,13.12,87.5,85,30.46,29.82,3.637,1.777,326.2,0,29.55,30.1,29.05,78.09,80.3,74.86,316.1,897,26.08,24.86,30.1,29.05,37.47,34.71
4/1/16 12:00,1003,13.13,13.1,87.2,84.2,32.26,30.22,4.116,2.181,304,0,30.39,31.08,29.63,74.44,78.41,70.41,633.6,1592,26.34,24.75,31.08,29.63,39.6,35.52
4/1/16 13:00,1004,13.11,13.1,87.1,85.7,31.94,31.3,4.756,2.539,294.1,0,30.61,31.39,29.9,72.56,77.45,67.16,517.7,1616,26.16,24.31,31.39,29.9,38.96,35.8
4/1/16 14:00,1005,13.11,13.09,87.3,85.5,32.99,31.94,5.075,2.307,272.8,0,31.3,31.79,30.42,69.25,77.21,64.36,NAN,1646,26.24,24.03,31.79,30.42,40.58,36.89
4/1/16 15:00,1006,13.1,13.09,87.8,85.9,32.84,32.3,6.194,3.87,265.4,0,31.07,31.86,30.46,72.91,77.55,68.48,808,1636,26.5,24.66,31.86,30.46,40.7,37.19
4/1/16 16:00,1007,13.1,13.09,88.4,85.8,32.99,32.33,6.673,3.992,275.6,0,31.19,32.18,30.74,71.36,75.96,64.81,731.7,1230,26.37,24.38,32.18,30.74,40.41,37.27
4/1/16 17:00,1008,13.11,13.09,88.7,87.5,32.44,32.01,7.952,4.818,269.1,0,30.73,31.52,30.2,72.27,75.39,68.68,704.4,841,25.91,24.4,31.52,30.2,39.77,36.09
4/1/16 18:00,1009,13.13,13.09,90.8,86.3,32.15,29.99,7.153,3.698,282.7,0,30.04,31.01,29.59,75.84,79.05,70,294.9,849,25.85,24.63,31.01,29.59,38.7,35.68
4/1/16 19:00,1010,13.13,12.81,90.7,90.2,29.99,29.45,4.276,2.265,303.3,0,29.86,30.14,29.56,74.62,78.72,71.35,78.3,158.1,25.89,23.99,30.14,29.56,37.34,34.56
